,gf,ga,xg,xga,poss,attendance,notes,sh,sot,dist,fk,pk,pkatt,season,venue_code,opp_code,hour,day_code,target,goal_diff,gf_rolling,ga_rolling,sh_rolling,sot_rolling,dist_rolling,fk_rolling,pk_rolling,pkatt_rolling
543,0.0,0.0,1.1,0.1,54.0,41392.0,,10.0,4.0,15.6,0.0,0,0,2023,1,4,21,6,0,0,2.0,1.3333333333333333,19.0,5.0,16.766666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
544,5.0,1.0,2.3,0.2,69.0,38725.0,,24.0,9.0,16.4,0.0,0,0,2023,1,9,21,6,1,4,0.3333333333333333,0.6666666666666666,12.666666666666666,1.0,19.266666666666666,2.0,0.3333333333333333,0.3333333333333333
545,1.0,2.0,1.7,1.7,54.0,12085.0,,17.0,4.0,16.1,1.0,0,0,2023,0,13,14,5,0,-1,1.6666666666666667,1.0,15.333333333333334,3.6666666666666665,17.666666666666664,1.0,0.0,0.0
546,3.0,0.0,1.7,0.5,65.0,40965.0,,14.0,7.0,15.2,0.0,0,0,2023,1,5,18,5,1,3,2.0,1.3333333333333333,17.666666666666668,5.0,17.3,1.3333333333333333,0.0,0.0
547,2.0,2.0,1.1,0.8,62.0,19766.0,,12.0,5.0,15.5,1.0,0,0,2023,0,8,14,6,0,0,3.0,1.0,18.333333333333332,6.666666666666667,15.9,0.3333333333333333,0.0,0.0
548,2.0,1.0,2.1,1.6,56.0,20260.0,,14.0,7.0,18.7,0.0,0,1,2023,0,12,21,4,1,1,2.0,1.3333333333333333,14.333333333333334,5.333333333333333,15.6,0.6666666666666666,0.0,0.0
549,2.0,2.0,2.7,1.7,60.0,41805.0,,19.0,6.0,16.6,0.0,1,1,2023,1,7,16,5,0,0,2.3333333333333335,1.0,13.333333333333334,6.333333333333333,16.466666666666665,0.3333333333333333,0.0,0.3333333333333333
550,1.0,1.0,1.8,1.1,36.0,37353.0,,12.0,4.0,18.9,0.0,0,1,2023,0,16,19,1,0,0,2.0,1.6666666666666667,15.0,6.0,16.933333333333334,0.3333333333333333,0.3333333333333333,0.6666666666666666
551,1.0,2.0,1.2,1.5,67.0,41199.0,,12.0,2.0,23.1,1.0,1,1,2023,1,11,18,5,0,-1,1.6666666666666667,1.3333333333333333,15.0,5.666666666666667,18.066666666666666,0.0,0.3333333333333333,1.0
552,0.0,1.0,0.2,1.6,33.0,46007.0,,3.0,2.0,15.3,0.0,0,0,2023,1,3,21,5,0,-1,1.3333333333333333,1.6666666666666667,14.333333333333334,4.0,19.533333333333335,0.3333333333333333,0.6666666666666666,1.0
553,1.0,1.0,0.9,1.1,71.0,32773.0,,14.0,3.0,18.8,0.0,0,0,2023,0,15,16,6,0,0,0.6666666666666666,1.3333333333333333,9.0,2.6666666666666665,19.099999999999998,0.3333333333333333,0.3333333333333333,0.6666666666666666
554,3.0,0.0,2.0,0.2,62.0,39876.0,,14.0,6.0,20.0,2.0,1,1,2023,1,4,20,3,1,3,0.6666666666666666,1.3333333333333333,9.666666666666666,2.3333333333333335,19.066666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333
555,1.0,2.0,1.4,2.5,48.0,19247.0,,13.0,4.0,15.7,0.0,0,0,2023,0,19,16,5,0,-1,1.3333333333333333,0.6666666666666666,10.333333333333334,3.6666666666666665,18.033333333333335,0.6666666666666666,0.3333333333333333,0.3333333333333333
556,0.0,1.0,0.4,0.4,73.0,39003.0,,11.0,2.0,17.3,1.0,0,0,2023,1,6,21,4,0,-1,1.6666666666666667,1.0,13.666666666666666,4.333333333333333,18.166666666666668,0.6666666666666666,0.3333333333333333,0.3333333333333333
557,2.0,2.0,1.9,1.4,57.0,33442.0,,16.0,6.0,15.6,0.0,0,0,2023,1,0,21,0,0,0,1.3333333333333333,1.0,12.666666666666666,4.0,17.666666666666668,1.0,0.3333333333333333,0.3333333333333333
558,0.0,1.0,1.2,1.5,48.0,19675.0,,15.0,2.0,15.5,0.0,0,0,2023,0,18,14,6,0,-1,1.0,1.6666666666666667,13.333333333333334,4.0,16.2,0.3333333333333333,0.0,0.0
559,0.0,2.0,0.2,2.3,30.0,51926.0,,4.0,0.0,19.2,0.0,0,0,2023,0,14,21,3,0,-2,0.6666666666666666,1.3333333333333333,14.0,3.3333333333333335,16.133333333333336,0.3333333333333333,0.0,0.0
560,0.0,1.0,1.0,2.3,49.0,10732.0,,8.0,4.0,18.4,0.0,0,0,2023,0,10,16,6,0,-1,0.6666666666666666,1.6666666666666667,11.666666666666666,2.6666666666666665,16.766666666666666,0.0,0.0,0.0
561,1.0,2.0,1.6,1.5,49.0,36688.0,,18.0,8.0,18.3,1.0,0,0,2023,1,1,21,5,0,-1,0.0,1.3333333333333333,9.0,2.0,17.7,0.0,0.0,0.0
562,0.0,1.0,1.0,1.8,54.0,10112.0,,8.0,3.0,23.0,1.0,0,0,2023,0,9,21,0,0,-1,0.3333333333333333,1.6666666666666667,10.0,4.0,18.63333333333333,0.3333333333333333,0.0,0.0
563,1.0,0.0,0.5,0.7,38.0,37465.0,,8.0,3.0,15.5,0.0,0,0,2023,1,15,21,5,1,1,0.3333333333333333,1.3333333333333333,11.333333333333334,5.0,19.900000000000002,0.6666666666666666,0.0,0.0
564,0.0,1.0,1.0,1.8,47.0,89644.0,,13.0,1.0,18.6,0.0,0,0,2023,0,3,16,6,0,-1,0.6666666666666666,1.0,11.333333333333334,4.666666666666667,18.933333333333334,0.6666666666666666,0.0,0.0
565,1.0,0.0,1.7,0.3,55.0,37762.0,,7.0,3.0,13.8,0.0,0,1,2023,1,12,21,5,1,1,0.3333333333333333,0.6666666666666666,9.666666666666666,2.3333333333333335,19.033333333333335,0.3333333333333333,0.0,0.0
566,0.0,3.0,1.0,1.9,44.0,58317.0,,9.0,1.0,21.4,1.0,0,0,2023,0,2,21,5,0,-3,0.6666666666666666,0.3333333333333333,9.333333333333334,2.3333333333333335,15.966666666666669,0.0,0.0,0.3333333333333333
567,1.0,1.0,2.3,0.8,61.0,39769.0,,17.0,3.0,17.4,0.0,1,1,2023,1,13,21,0,0,0,0.3333333333333333,1.3333333333333333,9.666666666666666,1.6666666666666667,17.933333333333334,0.3333333333333333,0.0,0.3333333333333333
568,1.0,2.0,1.3,0.9,60.0,14309.0,,11.0,3.0,17.0,0.0,0,0,2023,0,0,18,6,0,-1,0.6666666666666666,1.3333333333333333,11.0,2.3333333333333335,17.533333333333335,0.3333333333333333,0.3333333333333333,0.6666666666666666
569,0.0,2.0,0.4,0.4,60.0,39654.0,,14.0,3.0,19.9,0.0,0,0,2023,1,16,21,6,0,-2,0.6666666666666666,2.0,12.333333333333334,2.3333333333333335,18.599999999999998,0.3333333333333333,0.3333333333333333,0.3333333333333333
570,2.0,0.0,1.0,0.6,35.0,22129.0,,5.0,3.0,11.7,0.0,0,0,2023,0,7,14,6,1,2,0.6666666666666666,1.6666666666666667,14.0,3.0,18.099999999999998,0.0,0.3333333333333333,0.3333333333333333
571,2.0,1.0,0.9,0.9,49.0,42023.0,,19.0,6.0,19.1,0.0,0,0,2023,1,18,19,3,1,1,1.0,1.3333333333333333,10.0,3.0,16.2,0.0,0.0,0.0
572,1.0,2.0,1.3,1.8,61.0,18650.0,,16.0,3.0,16.0,0.0,0,0,2023,0,6,14,6,0,-1,1.3333333333333333,1.0,12.666666666666666,4.0,16.900000000000002,0.0,0.0,0.0
573,1.0,1.0,1.2,0.7,33.0,43634.0,,8.0,1.0,14.9,1.0,0,0,2023,1,19,19,2,0,0,1.6666666666666667,1.0,13.333333333333334,4.0,15.6,0.0,0.0,0.0
574,2.0,1.0,1.2,0.7,36.0,14517.0,,12.0,5.0,16.3,0.0,0,0,2023,0,5,14,6,1,1,1.3333333333333333,1.3333333333333333,14.333333333333334,3.3333333333333335,16.666666666666668,0.3333333333333333,0.0,0.0
575,1.0,0.0,1.0,1.4,27.0,46002.0,,11.0,6.0,14.3,0.0,0,0,2023,1,14,18,6,1,1,1.3333333333333333,1.3333333333333333,12.0,3.0,15.733333333333334,0.3333333333333333,0.0,0.0
576,1.0,0.0,1.2,0.5,51.0,20260.0,,14.0,6.0,18.3,0.0,0,0,2023,1,0,21,0,1,1,0.3333333333333333,2.6666666666666665,8.666666666666666,3.6666666666666665,21.266666666666666,0.0,0.0,0.0
577,1.0,2.0,0.6,1.7,55.0,10053.0,,14.0,4.0,21.9,0.0,0,0,2023,0,10,21,4,0,-1,0.6666666666666666,1.6666666666666667,9.333333333333334,3.6666666666666665,20.866666666666664,0.0,0.0,0.0
578,0.0,1.0,1.5,0.3,57.0,20295.0,,18.0,6.0,18.1,2.0,0,0,2023,1,6,21,4,0,-1,0.6666666666666666,2.0,12.0,4.0,20.2,0.0,0.0,0.0
579,3.0,2.0,1.6,2.8,56.0,10958.0,,13.0,6.0,23.4,1.0,1,1,2023,0,9,16,5,1,1,0.6666666666666666,1.0,15.333333333333334,5.333333333333333,19.433333333333334,0.6666666666666666,0.0,0.0
580,0.0,0.0,0.6,0.5,58.0,22561.0,,12.0,3.0,22.1,1.0,0,0,2023,1,4,14,6,0,0,1.3333333333333333,1.6666666666666667,15.0,5.333333333333333,21.133333333333336,1.0,0.3333333333333333,0.3333333333333333
581,0.0,1.0,0.7,1.3,51.0,17770.0,,14.0,2.0,21.8,0.0,0,0,2023,0,8,18,6,0,-1,1.0,1.0,14.333333333333334,5.0,21.2,1.3333333333333333,0.3333333333333333,0.3333333333333333
582,4.0,1.0,1.5,2.6,38.0,16547.0,,8.0,6.0,19.1,0.0,0,1,2023,1,5,19,2,1,3,1.0,1.0,13.0,3.6666666666666665,22.433333333333337,0.6666666666666666,0.3333333333333333,0.3333333333333333
583,1.0,0.0,0.8,0.9,26.0,21175.0,,9.0,2.0,18.0,2.0,0,0,2023,1,15,16,5,1,1,1.3333333333333333,0.6666666666666666,11.333333333333334,3.6666666666666665,21.0,0.3333333333333333,0.0,0.3333333333333333
584,0.0,2.0,0.5,2.5,52.0,19429.0,,7.0,2.0,19.3,0.0,0,0,2023,0,12,14,6,0,-2,1.6666666666666667,0.6666666666666666,10.333333333333334,3.3333333333333335,19.633333333333336,0.6666666666666666,0.0,0.3333333333333333
585,2.0,1.0,1.9,0.2,51.0,20176.0,,16.0,11.0,15.6,0.0,0,0,2023,1,7,16,5,1,1,1.6666666666666667,1.0,8.0,3.3333333333333335,18.8,0.6666666666666666,0.0,0.3333333333333333
